fecha_hora,pregunta_cliente,intencion_detectada,intencion_correcta,confianza,origen_intencion,respuesta_bot,respuesta_correcta,aprobado_para_entrenamiento,notas
2026-05-04T17:34:51,"luis esta en la tienda realizando una reclamacion, puedes ayudarlo. su pedido no ha llegado completo",Incidencia con pedido incompleto o no recibido,,1.0,desconocido,"Lamento lo ocurrido con tu pedido. Indícame el número de pedido y si no llegó, llegó incompleto o contiene productos equivocados.",,no,
2026-05-04T17:36:19,escape,Hablar con soporte humano,,0.4816,desconocido,"Quiero evitar darte una respuesta incorrecta. Te puedo derivar con atención al cliente; antes, cuéntame brevemente qué ocurrió.",,no,
2026-05-05T17:07:59,deseo comprar lacteos,Disponibilidad de productos,,1.0,regla,"Sí, actualmente figuran 15 unidades de leche entera en el inventario online. La disponibilidad puede variar al finalizar la compra.",,no,
2026-05-05T17:10:20,"deseo comprar lacteos, que productos de la categoria lacteos tienes disponibles",Disponibilidad de productos,,1.0,regla,"Sí, actualmente figuran 15 unidades de leche entera en el inventario online. La disponibilidad puede variar al finalizar la compra.",,no,
2026-05-05T17:24:22,deseo comprar productos lacteos,Disponibilidad de productos,,1.0,regla,"En la categoría lacteos tengo disponibles: leche entera (15 unidades), mantequilla (12 unidades). ¿Deseas conocer otras categorías o productos?",,no,
2026-05-05T17:24:47,quiero conocer que productos de la categoria lacteos tienes?,Disponibilidad de productos,,1.0,regla,"En la categoría lacteos tengo disponibles: leche entera (15 unidades), mantequilla (12 unidades). ¿Deseas conocer otras categorías o productos?",,no,
2026-05-05T17:25:15,que productos tienes disponibles ?,Disponibilidad de productos,,0.9707,modelo_zero_shot,"Puedo consultar disponibilidad online, pero necesito el producto exacto o la categoría. Por ejemplo: manzanas, pan sin gluten o categoría lácteos.",,no,
2026-05-05T17:25:58,que proteinas tienes disponibles,Disponibilidad de productos,,0.8996,modelo_zero_shot,"Puedo consultar disponibilidad online, pero necesito el producto exacto o la categoría. Por ejemplo: manzanas, pan sin gluten o categoría lácteos.",,no,
2026-05-05T17:27:19,puedo hablar con un asesor?,Hablar con soporte humano,,0.9078,modelo_zero_shot,"Quiero evitar darte una respuesta incorrecta. Te puedo derivar con atención al cliente; antes, cuéntame brevemente qué ocurrió.",,no,
2026-05-05T17:27:35,deseo comprar productos de la categoria proteina,Disponibilidad de productos,,1.0,regla,"Estas son las categorías disponibles en el sistema: bebidas, despensa, fruta, lacteos, limpieza, origen animal, panaderia, snacks, verdura.",,no,
2026-05-05T17:27:55,verdura,Disponibilidad de productos,,0.7027,modelo_zero_shot,En la categoría verdura tengo disponibles: tomates (40 unidades). ¿Deseas conocer otras categorías o productos?,,no,
